title,description,department
Partial order delivered ,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Investment policy compliance check,CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Approval for conference sponsorship,"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Production planning data not updated ,The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Sabbatical leave request ,A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Order queue position not updating ,Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Customer escalation requiring executive involvement ,A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Support ticket closed without resolution ,Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
Salary processing delayed this month ,"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Procurement system access for new manager ,A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Approval for external legal counsel ,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Partial order delivered ,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Dispatch schedule not coordinated with production ,Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
API access token expired ,A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Escalation of repeated billing errors to client,A client has been billed incorrectly for the third consecutive month despite corrections being made. Manager requesting executive involvement to resolve and retain the client.,Manager
Fleet maintenance record incomplete ,Annual review of the vehicle fleet maintenance records found that 4 vehicles do not have complete service history documentation as required by policy.,Operations
New hire pre-employment health check ,Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Attrition rate increase investigation ,Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Freight cost allocation query ,Operations and Finance disagree on how to allocate inbound freight costs across different product categories for inventory valuation purposes.,Finance
Approval for conference sponsorship ,"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Order queue position not updating ,Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Company social event planning ,"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Supplier quality audit scheduling,Quarterly quality audit of the top 3 suppliers is due. Operations needs to coordinate schedules and prepare audit checklists before the visits.,Operations
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Approval for AI tool procurement ,Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Time tracking system not recording correctly ,Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Return received but refund not initiated ,Customer returned an item and the tracking confirms it was delivered to the warehouse 12 days ago but no refund has been initiated yet.,Customer Support
IP address conflict on network ,Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
App shows different price than website ,The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Payroll reconciliation variance ,"Monthly payroll reconciliation between the HR payroll system and the accounting general ledger shows a variance of INR 6,800 that cannot be explained.",Finance
Software vulnerability patch urgency ,A critical security vulnerability has been identified in a widely used software package. IT needs management approval to apply emergency patches during business hours.,IT Support
Wrong seller shipped the product ,Customer ordered from a preferred seller on the marketplace but a different seller fulfilled the order and the product quality is noticeably different.,Customer Support
Customer escalation requiring executive involvement ,A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Customer feedback response strategy ,"Following a batch of negative customer reviews, management review of the feedback and approval of a formal response and improvement strategy is needed.",Manager
Loyalty tier downgraded incorrectly ,Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
Headcount report for board meeting,"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Diversity recruitment target progress ,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Employee not enrolled in payroll system ,New employee who joined 6 weeks ago was never enrolled in the payroll system and has not received any salary payment for the past month.,Finance
Accounts receivable write-off approval needed ,"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Bulk order pricing not applied ,Customer placed an order for 50 units expecting bulk pricing as advertised on the website but was charged the standard per-unit price.,Customer Support
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
System admin access request for audit,External auditors need temporary read-only access to specific system administration functions for their IT audit next week. Request requires management approval.,IT Support
Complaint about management communication style ,Multiple employees have formally raised concerns about a senior manager's aggressive communication style. HR and senior management review is required.,Manager
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Raw material substitution approval ,Primary raw material is out of stock and a substitute material is available. Production needs operations and quality team approval before using the substitute.,Operations
Export documentation preparation ,"An international shipment is being prepared and operations needs to compile all export documentation including commercial invoice, packing list and certificate of origin.",Operations
Third-party audit finding response plan ,External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Chatbot transferred to wrong department ,"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Employee assistance program awareness ,HR wants to send a communication to all employees about the available employee assistance program services including counseling and financial advice.,HR
Subscription billing date changed without notice ,Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Reward points expired without notice ,Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Incorrect depreciation method applied ,Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Shift schedule not published on time ,"Operations employees are complaining that the next month's shift schedule has not been published with adequate notice, causing personal planning difficulties.",HR
Internal loan between subsidiaries ,Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Procurement system access for new manager ,A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Rebate from vendor not accounted for ,"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Subscription not reflecting after payment ,Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Approval for overtime during critical period ,"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Unannounced customer plant visit ,A major customer has requested an unannounced plant visit in 48 hours to conduct their own audit. Operations needs to prepare for the visit on short notice.,Operations
Maintenance schedule conflict with production ,Planned maintenance on a key machine conflicts with a production run scheduled for the same day. Rescheduling of either activity is needed.,Operations
Data governance policy implementation ,IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Customer feedback response strategy ,"Following a batch of negative customer reviews, management review of the feedback and approval of a formal response and improvement strategy is needed.",Manager
Investment policy compliance check ,CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Employee expense claim currency conversion query ,Employee who incurred expenses in USD during an overseas trip needs clarification on which exchange rate to use when converting to INR for the claim.,Finance
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Teams meeting recording not available ,A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Complaint about product environmental impact ,Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Loading dock slip and fall hazard ,Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Data governance policy implementation ,IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Unable to update payment method ,Customer is trying to add a new credit card to their account but the payment section keeps showing a loading spinner without saving the card.,Customer Support
Excessive product packaging complaint ,A customer audit team flagged that the product packaging uses significantly more material than necessary. Operations review of packaging standards is needed.,Operations
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Remote employee contract addendum ,An employee transitioning to a permanently remote work arrangement needs a formal contract addendum reflecting the change in work location and terms.,HR
Password manager enterprise deployment ,IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Diversity recruitment target progress ,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Work order system not updating status ,Maintenance work orders completed by technicians are not updating to completed status in the system. Manual tracking is creating reporting inaccuracies.,Operations
Sabbatical leave request ,A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Annual insurance premium payment confirmation ,Accounts team needs to confirm that the annual business insurance premium has been paid in full before the policy renewal date next week.,Finance
Night shift handover process breakdown,The handover between day and night shifts in the warehouse is inconsistent. Critical information about pending tickets is frequently not communicated.,Operations
Employment tribunal response preparation ,HR legal team is preparing a formal response to an employment tribunal claim filed by a former employee. Documentation and witness statements are needed.,HR
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Approval for conference sponsorship ,"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Domain name renewal lapse risk ,IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Approval for crisis communication plan ,Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
Print server migration planning ,IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Packing material quality failure ,Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Headcount report for board meeting ,"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Employee survey design and distribution ,HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Wi-Fi dead zones in office ,Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Headcount freeze impact on deliverables ,The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Accounting software login not working ,Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Outdated OS on employee workstation ,Security scan identified a workstation still running Windows 10 without the latest security patches. OS upgrade needs to be scheduled with the employee.,IT Support
Quarter-end closing deadline missed by department ,A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
End-of-year leave planning communication ,HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Endpoint detection alert review ,IT security received an alert from the endpoint detection system about suspicious activity on one workstation. Investigation and response are needed.,IT Support
Incorrect bank details for salary transfer ,Employee's salary was credited to a wrong bank account this month due to an outdated bank detail on file. Requesting immediate reversal and correction.,Finance
Production line downtime report ,Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Incorrect exchange rate used in report ,Monthly financial report used an exchange rate from the prior month instead of the current rate. All foreign currency figures need to be restated.,Finance
Subscription not reflecting after payment ,Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Senior hire approval above salary band ,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Order delivery window too wide ,Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Maintenance schedule conflict with production ,Planned maintenance on a key machine conflicts with a production run scheduled for the same day. Rescheduling of either activity is needed.,Operations
Print server migration planning ,IT is planning to migrate from a physical print server to a cloud print solution. Impact assessment and communication plan need to be developed.,IT Support
Customer escalation requiring executive involvement ,A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Apprenticeship program enrollment ,Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Digital HR system migration ,HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
Franchise partner performance review ,Several franchise partners have not met their quarterly performance targets. Management needs to decide on remediation actions or contract terminations.,Manager
Unpaid leave impact on benefits ,"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Export documentation preparation ,"An international shipment is being prepared and operations needs to compile all export documentation including commercial invoice, packing list and certificate of origin.",Operations
Supplier quality audit scheduling ,Quarterly quality audit of the top 3 suppliers is due. Operations needs to coordinate schedules and prepare audit checklists before the visits.,Operations
Promotion announcement communication ,Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Employee safety boot replacement ,Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Diversity recruitment target progress,HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Geographic expansion resource planning ,"Following management approval to expand to a new city, the operations manager is requesting approval of the resource and budget plan for the expansion.",Manager
Vendor payment on credit hold ,Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Customer escalation requiring executive involvement ,A Fortune 500 client has escalated a service complaint to the director level after repeated unresolved attempts. Executive-level intervention is now required.,Manager
Regional office closure decision ,Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Approval for AI tool procurement ,Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Custom order specifications not followed ,Customer placed a custom product order with specific dimensions and color but the delivered item does not match the confirmed order specifications.,Customer Support
IT helpdesk portal not loading ,Employees are unable to access the IT helpdesk portal to submit tickets. The page times out. This means all tickets are being raised through email.,IT Support
Unclear expense category in policy ,Employee is unsure which expense category to use for a coworking space cost incurred during a business trip. Policy does not cover this scenario.,Finance
Support agent gave incorrect information ,Customer followed advice given by a support agent which resulted in their order being cancelled incorrectly. Requesting reinstatement and compensation.,Customer Support
Long-term disability claim support ,An employee diagnosed with a long-term health condition needs HR support to navigate the company's disability insurance claim process.,HR
Skill gap analysis for department ,HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Headcount freeze impact on deliverables ,The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Legacy data migration from old server ,An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Multi-factor authentication app switch ,IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Packing material quality failure,Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Employee survey design and distribution ,HR is designing a pulse survey to measure employee engagement following recent organizational changes and needs to finalize questions before distribution.,HR
Reward points expired without notice ,Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Loading dock slip and fall hazard ,Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Accounts receivable write-off approval needed ,"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Complaint about product environmental impact ,Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Inventory barcode scanner not reading ,The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Medical reimbursement documents rejected ,Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Cross-border payroll compliance query,An employee who has been working from another country for 6 months has raised questions about cross-border payroll tax and social security implications.,HR
Virtual machine snapshot storage full ,The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Candidate rejection communication ,HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Virtual machine snapshot storage full ,The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Counterfeit product suspected ,Customer suspects the branded product they received is counterfeit based on poor print quality on the packaging and slight differences in product appearance.,Customer Support
Overdraft fee charged on company account ,Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Graduate trainee program assessment ,The 12-month graduate trainee program is coming to an end and HR needs to coordinate the final assessments and conversion offers for the successful trainees.,HR
Spare parts inventory running low ,Critical spare parts for production machinery are running below the minimum stock level. Procurement needs to be initiated before any equipment breakdown.,Operations
Staff augmentation request ,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Complaint about management communication style ,Multiple employees have formally raised concerns about a senior manager's aggressive communication style. HR and senior management review is required.,Manager
Incorrect exchange rate used in report ,Monthly financial report used an exchange rate from the prior month instead of the current rate. All foreign currency figures need to be restated.,Finance
Senior hire approval above salary band ,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Quarter-end closing deadline missed by department ,A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
